Left Bank: 30 Chickens, 28 Wolves, 0 Boat
Right Bank: 70 Chickens, 69 Wolves, 1 Boat

Left Bank: 30 Chickens, 30 Wolves, 1 Boat
Right Bank: 70 Chickens, 67 Wolves, 0 Boat

Left Bank: 30 Chickens, 29 Wolves, 0 Boat
Right Bank: 70 Chickens, 68 Wolves, 1 Boat

Left Bank: 32 Chickens, 29 Wolves, 1 Boat
Right Bank: 68 Chickens, 68 Wolves, 0 Boat

Left Bank: 31 Chickens, 28 Wolves, 0 Boat
Right Bank: 69 Chickens, 69 Wolves, 1 Boat

Left Bank: 31 Chickens, 30 Wolves, 1 Boat
Right Bank: 69 Chickens, 67 Wolves, 0 Boat

Left Bank: 30 Chickens, 30 Wolves, 0 Boat
Right Bank: 70 Chickens, 67 Wolves, 1 Boat

